text,label
This team is trash,emotional
This player sucks,emotional
This music artist sucks,emotional
This album is mid af,emotional
Playboi Carti is trash music,emotional
Country music is for hillbillies,emotional
Rock is the greatest music genre,emotional
This song makes me want to die lmao,emotional
That game was an absolute joke,emotional
This coach is the worst ever,emotional
That referee is blind and useless,emotional
This team is embarrasing to watch,emotional
Pop music is garbage,emotional
That was the most disgusting performance I've ever seen,emotional
This player is a complete bum,emotional
That movie was absolutely terrible,emotional
This show is unwatchable,emotional
That actor is painfully bad,emotional
This director ruined the franchise,emotional
That ending was complete trash,emotional
This book is boring as hell,emotional
That author writes like a child,emotional
This podcast is a waste of time,emotional
That YouTuber is so annoying,emotional
This influencer is fake and cringe,emotional
That CEO is an absolute clown,emotional
This company is a total scam,emotional
That product is the worst thing I've ever bought,emotional
This app is pure garbage,emotional
That update ruined everything,emotional
This game is so broken it's unplayable,emotional
That studio destroyed their own franchise,emotional
This sequel is an insult to the original,emotional
That artist sold out completely,emotional
This album is the worst thing released this decade,emotional
That rapper can't even rap,emotional
This genre is dying and good riddance,emotional
That performance was cringe worthy,emotional
This team has no heart whatsoever,emotional
That player is a disgrace to the sport,emotional
This season was a complete disaster,emotional
That draft pick was an obvious mistake,emotional
This franchise is beyond saving,emotional
That signing was absolutely idiotic,emotional
This manager is clueless,emotional
That trade was the dumbest thing I've ever seen,emotional
This organization is a mess,emotional
That play call was insane in the worst way,emotional
This roster is a joke,emotional
That loss was completely humiliating,emotional
Lil baby is the greatest rapper alive,unsupported
Rap only talks about women and crime,unsupported
Hip hop is the best genre ever,unsupported
Billie Eilish fell off,unsupported
Travis Scott is overrated,unsupported
Taylor Swift is overrated,unsupported
Playboi Carti is the best rapper ever,unsupported
Rock music is for the depressed,unsupported
LeBron is the greatest basketball player of all time,unsupported
Michael Jordan was better than everyone else combined,unsupported
Soccer is the most boring sport,unsupported
American football is too violent to enjoy,unsupported
Baseball is a dying sport,unsupported
The NFL is rigged,unsupported
The NBA favors big market teams,unsupported
College athletes should be paid,unsupported
Streaming killed the music industry,unsupported
Albums don't matter anymore,unsupported
TikTok ruined music,unsupported
Vinyl sounds better than digital,unsupported
90s hip hop was the golden era,unsupported
Modern rap has no substance,unsupported
Female artists are underrated in hip hop,unsupported
Award shows are meaningless,unsupported
The Grammys are politically biased,unsupported
Superhero movies killed cinema,unsupported
Streaming services have too many shows,unsupported
Reality TV is destroying culture,unsupported
Social media influencers are not real celebrities,unsupported
Video games are more creative than movies now,unsupported
Electric cars are worse for the environment,unsupported
Remote work is more productive,unsupported
College degrees are no longer worth it,unsupported
Entrepreneurship is better than a 9 to 5,unsupported
AI will replace all creative jobs,unsupported
Crypto is the future of money,unsupported
Fast food is worse for you than home cooking,unsupported
Organic food is healthier,unsupported
Coffee is bad for your heart,unsupported
Meditation cures anxiety,unsupported
Exercise is the best medicine,unsupported
Sleep is more important than diet,unsupported
Dogs are smarter than cats,unsupported
City life is better than suburban life,unsupported
Public schools are failing students,unsupported
Technology is making us dumber,unsupported
Social media causes depression,unsupported
Millennials have it harder than boomers,unsupported
Gen Z is the most creative generation,unsupported
The news media can't be trusted,unsupported
This team is terrible because their defense ranks 29th,weakly_supported
This band is horrible they didn't have a hit song in a decade,weakly_supported
Drake is bad because all his songs sound the same,weakly_supported
Carti is popular because his songs go viral on TikTok,weakly_supported
Travis Scott is popular because of his production style and festival performances,weakly_supported
Hip hop is great because it dominates charts and has massive cultural influence,weakly_supported
Billie Eilish is worse now because her newer music has lower streaming numbers,weakly_supported
This rapper is declining because his last album debuted lower than previous projects,weakly_supported
This team improved because they added a top-10 draft pick this offseason,weakly_supported
LeBron is the best because he won championships with three different teams,weakly_supported
This artist is overrated because her songs rarely chart outside the top 40,weakly_supported
This movie flopped because it made less than its budget at the box office,weakly_supported
That show declined in quality after its lead actor left,weakly_supported
This athlete is washed because his stats dropped significantly last season,weakly_supported
That franchise is struggling because ticket sales have dropped three years straight,weakly_supported
This genre is growing because it gained more radio airplay this year,weakly_supported
That song is popular mainly because it went viral on social media,weakly_supported
This player is undervalued because he scores 20 points per game off the bench,weakly_supported
That coach should be fired because the team lost 10 games in a row,weakly_supported
This album is good because it debuted at number one on the Billboard 200,weakly_supported
That band is declining because their arena shows no longer sell out,weakly_supported
This fighter is dominant because he has won his last five bouts,weakly_supported
That pitcher is struggling because his ERA rose significantly this season,weakly_supported
This quarterback is elite because he has a high passer rating,weakly_supported
That team is dangerous because they have a top-five scoring offense,weakly_supported
This label is failing because three of its artists left this year,weakly_supported
That director is overrated because his last two films received mixed reviews,weakly_supported
This streaming show is popular because it trended on Twitter for a week,weakly_supported
That brand is losing relevance because their sales dropped 15 percent,weakly_supported
This game franchise is declining because its last entry got mediocre reviews,weakly_supported
That company is struggling because its stock dropped significantly this quarter,weakly_supported
This podcast is popular because it regularly hits the top 10 charts,weakly_supported
That influencer has lost impact because their follower growth stagnated,weakly_supported
This sneaker brand is fading because resell prices have dropped,weakly_supported
That team has chemistry issues because players have complained publicly,weakly_supported
This athlete trains too much because he gets injured almost every season,weakly_supported
That league is growing because TV ratings have increased for two straight years,weakly_supported
This university has a bad sports program because they haven't won a title in 15 years,weakly_supported
That player is a poor defender because opponents score often when guarding him,weakly_supported
This team has no bench depth because their backups average minimal minutes,weakly_supported
That artist is relevant again because a new generation found them on streaming,weakly_supported
This coach is good because he turned around a losing team within two seasons,weakly_supported
That album underperformed because it debuted outside the top 20,weakly_supported
This reality show is losing viewers because ratings dropped compared to last season,weakly_supported
That fighter is past his prime because he has lost three of his last five fights,weakly_supported
This genre is fading because its chart presence has shrunk over five years,weakly_supported
That player is inconsistent because his performance varies dramatically game to game,weakly_supported
This team is rebuilding because they traded away most of their veterans,weakly_supported
That album sparked controversy because of its lyrical content about sensitive topics,weakly_supported
This franchise is reviving because its most recent entry received positive reviews,weakly_supported
"This team ranks 29th in defense and 27th in rebounding, making it difficult to win consistently",well_supported
"Playboi Carti is a successful artist as he produced songs that reached platinum status, in total exceeding 1 billion streams",well_supported
"Rock is a great genre because it shaped how we listen to music today, it was the longest running genre, with popular bands like The Beatles becoming one of the biggest groups in the world",well_supported
"Kendrick Lamar is one of the greatest because he has Pulitzer Prize recognition, critically acclaimed albums, and strong storytelling across multiple projects",well_supported
"Carti's success comes from viral marketing, unique ad-lib style, and strong niche fanbase engagement across social platforms",well_supported
"Hip hop evolved through decades of cultural expression, lyrical innovation, and regional diversity, shaping global music trends across multiple eras",well_supported
"Billie Eilish's shift in style reflects a broader change in production, audience maturity, and experimentation across multiple albums",well_supported
"Listening to music you love has been scientifically shown to enhance physical performance and cause the brain to release dopamine, particularly as listeners anticipate the peak of a song",well_supported
"Queen's Bohemian Rhapsody topped the British charts four separate times, first spending nine weeks at number one in 1975 and returning to the top spot following Freddie Mercury's death in 1991",well_supported
"LeBron James is widely considered among the greatest players in NBA history, having won four championships with three different franchises and earning four MVP awards across a career spanning over two decades",well_supported
"The Golden State Warriors dynasty from 2015 to 2019 was built on a historically efficient offense, record-breaking three-point shooting, and a system that maximized the collective talent of its roster rather than relying on one superstar",well_supported
"Taylor Swift's Eras Tour became the highest-grossing concert tour in history, surpassing previous records while driving significant economic impact in each city it visited, according to multiple economic analyses",well_supported
"Drake has dominated the Billboard Hot 100 for over a decade, setting records for the most charted songs in history and consistently producing commercially successful albums across multiple genres",well_supported
"The Beatles remain the best-selling music artists of all time, with over 600 million albums sold worldwide, 20 number-one hits in the US, and enduring cultural influence spanning more than six decades",well_supported
"Serena Williams is considered the greatest tennis player of the Open Era, having won 23 Grand Slam singles titles, more than any other player in the professional era, while competing across four decades",well_supported
"The NFL consistently outperforms all other American sports leagues in television ratings, with Super Bowl broadcasts regularly drawing over 100 million viewers and accounting for the majority of the most-watched broadcasts in US history",well_supported
"Streaming platforms have fundamentally restructured music consumption, with Spotify alone reporting over 600 million active users and artists now earning the majority of their royalty income through per-stream payments rather than album sales",well_supported
"The Marvel Cinematic Universe is the highest-grossing film franchise in history, accumulating over 29 billion dollars in global box office revenue across more than 30 interconnected films released over 15 years",well_supported
"Steph Curry revolutionized basketball by shifting the game toward the three-point line, setting the all-time record for made threes and winning four championships while earning unanimous MVP honors in 2016",well_supported
"Eminem is one of the best-selling music artists of all time, with over 220 million records sold globally, 15 Grammy Awards, and multiple critically acclaimed albums that transformed the possibilities of lyrical complexity in hip hop",well_supported
"The women's soccer market has grown substantially over the past decade, with the 2023 Women's World Cup attracting a record global television audience of nearly two billion viewers across its full run of matches",well_supported
"Esports has grown into a multi-billion dollar global industry, with major tournaments like The International for Dota 2 offering prize pools exceeding 40 million dollars and events regularly filling arenas of 10,000 or more spectators",well_supported
"Michael Phelps is the most decorated Olympian in history, having won 28 medals including 23 gold medals across four Olympic Games, a record that no other competitor in any sport has approached",well_supported
"Beyoncé's Renaissance album release demonstrated the sustained cultural power of an established legacy artist, debuting at number one in over 50 countries and generating widespread critical acclaim for its genre-blending approach",well_supported
"Podcasting has expanded into a mainstream media format, with over five million active podcasts available globally and advertising revenue projected to exceed four billion dollars annually, reflecting a shift in how audiences consume long-form audio content",well_supported
"The Golden State Warriors' 2015-16 team set an NBA record with 73 regular season wins, surpassing the previous record held by the 1995-96 Chicago Bulls, demonstrating the effectiveness of their motion offense and defensive versatility",well_supported
"Roger Federer, Rafael Nadal, and Novak Djokovic collectively dominated men's tennis for nearly two decades, winning 65 of the 81 Grand Slam titles contested between 2003 and 2022 and pushing each other to historically high performance standards",well_supported
"K-pop has become a globally dominant music genre, with BTS becoming the first Korean act to achieve a US number-one album and the genre generating billions of dollars in annual revenue through music, merchandise, and fan tourism to South Korea",well_supported
"The rise of social media has measurably shifted how music becomes popular, with TikTok virality now frequently predicting chart success more reliably than traditional radio airplay, as seen with dozens of songs climbing charts weeks after going viral",well_supported
"Formula 1 experienced a dramatic surge in American viewership following the release of the Drive to Survive documentary series on Netflix, with US race attendance and broadcast numbers roughly doubling between 2018 and 2023",well_supported
"The NBA's international expansion has been fueled by global superstars from diverse countries, with players from outside the US making up approximately 25 percent of the league's roster and helping grow viewership in Europe, Africa, and Asia",well_supported
"Megan Thee Stallion's rise demonstrated the power of social media in modern artist development, as her early freestyle videos on Instagram attracted millions of followers before she had a major label deal, building an organic fanbase that sustained her first mainstream hits",well_supported
"Sports analytics has transformed roster construction across professional leagues, with front offices increasingly relying on advanced metrics such as player efficiency rating, expected goals, and defensive wins above replacement to evaluate athletes beyond traditional statistics",well_supported
"The global gaming industry surpassed 180 billion dollars in revenue in 2023, exceeding the combined revenues of the film and music industries, driven by mobile gaming growth, live service games, and expanding esports viewership",well_supported
"Hip hop surpassed rock as the most consumed genre in the United States in the mid-2010s and has remained dominant, accounting for the largest share of total music streams annually according to multiple industry reports",well_supported
"Simone Biles is widely regarded as the greatest gymnast in history, holding more world championship medals than any other gymnast and performing skills so difficult they were given her name by the sport's governing body",well_supported
"The shift to streaming has disproportionately benefited catalog music, with older tracks now accounting for over 70 percent of all music consumption in the US as algorithms surface decades-old songs to new listeners",well_supported
"Cristiano Ronaldo and Lionel Messi's rivalry elevated the standard of play in club football for over 15 years, with each player winning multiple Ballon d'Or awards and consistently breaking scoring records across Europe's top leagues",well_supported
"Live music revenue rebounded strongly following the pandemic, with global concert and festival earnings surpassing pre-2020 levels by 2023 as pent-up consumer demand and rising ticket prices drove record grosses for touring artists",well_supported
The Philadelphia Eagles' offensive line dominance in their 2017 Super Bowl run was quantified by advanced metrics showing their pass protection grade ranked among the highest in NFL history for a single postseason,well_supported
"Independent artists have gained unprecedented leverage in the modern music industry, with platforms like DistroKid and TuneCore allowing musicians to distribute globally and retain up to 100 percent of royalties without a traditional label deal",well_supported
"Usain Bolt's status as the greatest sprinter in history is supported by his world records in the 100 and 200 meter events, both set in 2009, which remain unbroken and were achieved under official conditions with calibrated timing systems",well_supported
"The decline of traditional cable television has accelerated among younger demographics, with viewers under 35 spending significantly more time on streaming platforms than on live TV, reshaping advertising spending and content production priorities",well_supported
"Naomi Osaka's dominance at hardcourt Slams, winning four Grand Slam titles on the surface between 2018 and 2021, reflects her technically sound game built around a powerful first serve and aggressive groundstroke patterns",well_supported
"Music festivals have become significant economic drivers for their host cities, with events like Coachella generating hundreds of millions of dollars in regional economic activity through hotel stays, dining, transportation, and ancillary spending",well_supported
"Patrick Mahomes has established himself as one of the greatest quarterbacks of his generation within his first seven seasons, winning three Super Bowls, two MVP awards, and setting multiple records for postseason passing efficiency",well_supported
"The influence of producer Metro Boomin on modern hip hop is documented through his production credits on multiple platinum albums, his signature sound shaping the aesthetic of trap music and influencing a generation of producers",well_supported
"Youth participation in traditional team sports has declined steadily since 2008, with multiple surveys showing children increasingly preferring individual activities, gaming, and unstructured recreation over organized leagues",well_supported
"The podcast Serial demonstrated the commercial viability of long-form audio storytelling, becoming the fastest podcast to reach 5 million downloads in 2014 and sparking renewed industry investment in narrative journalism audio formats",well_supported
"Lionel Messi's 2022 World Cup victory completed his legacy as the most decorated player in football history, adding the one major trophy that had eluded him and cementing a career that includes eight Ballon d'Or awards and multiple Champions League titles",well_supported
